CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,INDUSTRIAL_CLASS,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,REGISTERED_OFFICE_ADDRESS,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,LATEST_YEAR_ANNUAL_RETURN,LATEST_YEAR_FINANCIAL_STATEMENT
U01100MN2018PTC013737,EDEN INTEGRATED FOOD PRODUCER COMPANYLIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,18-09-2018,Manipur,100000,100000,1100,Agriculture & allied,"Mao Gate, Senapati DistrictManipur  ",ROC SHILLONG,pcsvaibhavgarg@gmail.com,31-03-2019,NA
U01100MN2018PTC013740,MANIPURFARM ENTERPRISE PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,26-09-2018,Manipur,1000000,100000,1100,Agriculture & allied,B-1-60/2KABRABAM LEIKAI  ,ROC SHILLONG,capradeepyadav@hotmail.com,NA,NA
U01100MN2018PTC013746,LEISHEMBI PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,29-09-2018,Manipur,20000000,200000,1100,Agriculture & allied,"C/O. T. SUBHASH SINGH, IED-IIPSP-362(LSD2) LANGOL GAME VILLAGE  ",ROC SHILLONG,OUGRICPL@GMAIL.COM,NA,NA
U01100MN2019OPC013857,LAMAN AGRO AND MILCH (OPC) PRIVATELIMITED  ,ACTV,Private(One Person Company),Company limited by Shares,Non-govt company,22-04-2019,Manipur,100000,100000,1100,Agriculture & allied,NEAR KLLK CLUBMAYANG IMPHAL WANGKHEI LEIKAI IMPHAL WEST  ,ROC SHILLONG,sweetsummerchill16@gmail.com,NA,NA
U01100MN2019OPC013919,HONGBEI AGROVET (OPC) PRIVATE LIMITED   ,ACTV,Private(One Person Company),Company limited by Shares,Non-govt company,06-08-2019,Manipur,100000,100000,1100,Agriculture & allied,"c/o. nepram manihar, IED-III, 12-E-7/14KOIROU, THONGJU PART 2,  ",ROC SHILLONG,KUNJACMSPL@GMAIL.COM,NA,NA
U01100MN2019PTC013793,KEIHOO AGROTECH PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,09-01-2019,Manipur,1000000,200000,1100,Agriculture & allied,"C/O ONJAMANG TOUTHANG,HOUSE NO.10, NEW MOLTUH,BIJANG.  ",ROC SHILLONG,caprashantrajesh@gmail.com,NA,NA
U01100MN2019PTC013794,MOILANG AGROTECH PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,09-01-2019,Manipur,1000000,100000,1100,Agriculture & allied,S/O SOIBAM IBOCHA SINGHTERA YENGKHOM LEIRAK  ,ROC SHILLONG,HEMANTA.SOIBAM@GMAIL.COM,31-03-2019,31-03-2019
U01100MN2019PTC013841,KOIRENG AND SONS FISHERY AND POULTRYPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,27-03-2019,Manipur,300000,300000,1100,Agriculture & allied,"12296, 23 - B - 24 / 11, Haobam Marak,Ngangom Leikai,  ",ROC SHILLONG,bhanu50devi@gmail.com,31-03-2019,31-03-2019
U01100MN2019PTC013842,KOIRENG AND SONS AGRO INDUSTRIES PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,27-03-2019,Manipur,300000,300000,1100,Agriculture & allied,"12296, 23 - B - 24 / 11, Haobam Marak,Ngangom Leikai,  ",ROC SHILLONG,thokchomkhushi38@gmail.com,31-03-2019,31-03-2019
U01100MN2019PTC013892,ASHAKAMAL AGROVET PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,02-07-2019,Manipur,100000,20000,1100,Agriculture & allied,"C/O AJITKUMAR HEIRANGKHONGJAM,NAMBOL WARD NO.6,NAMBOL BISHNUPUR  ",ROC SHILLONG,CSPUINACHANDRA@GMAIL.COM,NA,NA
U01100MN2019PTC013929,THINGTANGPA FARMER PRODUCER COMPANYLIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,19-08-2019,Manipur,1000000,10000,1100,Agriculture & allied,"C/O. P. VUMZATHANG 204/NE, PETHUELVENGNUAM SOUTH, NEW LAMKA, CHURACHANDPUR  ",ROC SHILLONG,ougricpl@gmail.com,NA,NA
U01100MN2019PTC013938,SAIKHOM BROTHER PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,06-09-2019,Manipur,100000,20000,1100,Agriculture & allied,"C/O. SAIKHOM BANKY SINGH, POROMPATNAHARUP HUIREM LEIKAI  ",ROC SHILLONG,KUNJACMSPL@GMAIL.COM,NA,NA
U01100MN2019PTC013973,KAKCHING ORGANIC PRODUCER COMPANYLIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,07-11-2019,Manipur,1500000,10000,1100,Agriculture & allied,C/O NAOREM ACHOUBA SINGHNINGTHOU LEIKAI  ,ROC SHILLONG,ougricpl@gmail.com,NA,NA
U01100MN2019PTC013984,VERB AGRO PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,21-11-2019,Manipur,1000000,300000,1100,Agriculture & allied,"C/O. N BRAJABIDHU SINGH , IED-IIIED-II 29-B-49/3 GHARI  ",ROC SHILLONG,KUNJACMSPL@GMAIL.COM,NA,NA
U01100MN2019PTC013989,KHANKHO-LOM PRODUCER COMPANY LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,10-12-2019,Manipur,1000000,500000,1100,Agriculture & allied,M.Thingjabuong VillageBPO M. Songgel  ,ROC SHILLONG,khankholom@rediffmail.com,NA,NA
U01100MN2020PTC014021,YUMBI AGRO FARMER PRODUCER COMPANYLIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,13-01-2020,Manipur,1000000,800000,1100,Agriculture & allied,"POTSANGBAMOMOR SINGH, S/O. P.O. SINGH14, AWANG SEKMAI BAZAR  ",ROC SHILLONG,kangjamsunibaladevi1979@gmail.com,NA,NA
U01100MN2020PTC014032,KAOREL AGRO FARMER PRODUCER COMPANYLIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,27-01-2020,Manipur,1000000,800000,1100,Agriculture & allied,"KEISHAM IBEMHAL DEVI, C/O. K. B. SINGH2ND FLOOR, PASTSOI PART-1  ",ROC SHILLONG,dorendroatom77@gmail.com,NA,NA
U01100MN2020PTC014037,THANGCHING ORGANIC PRODUCER COMPANYLIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,30-01-2020,Manipur,1000000,100000,1100,Agriculture & allied,"C/O THE GREEN FOUNDATION IED-I, 230141,17-A-16/3 KWAKEITHEL AWANG THIYAM LEIKAI  ",ROC SHILLONG,ougricpl@gmail.com,NA,NA
U01100MN2020PTC014041,TAMENGLONG FARMERS PRODUCER COMPANYLIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,31-01-2020,Manipur,1000000,100000,1100,Agriculture & allied,"c/o. ID Kaipisinnang, EDEN HILLTamenglong, Ward no II Part VI  ",ROC SHILLONG,cspuinachandra@gmail.com,NA,NA
U01110MN2017PTC013555,LOULHOUMI ORGANIC PRODUCER COMPANYLIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,01-08-2017,Manipur,1500000,100000,1110,Agriculture & allied,SABUAL VILLAGETIPAIMUKH ROAD  ,ROC SHILLONG,ougricpl@gmail.com,NA,NA
U01110MN2018PTC013649,MAHISHI MULTI FARMERS PRODUCER COMPANYLIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,02-04-2018,Manipur,100000,100000,1110,Agriculture & allied,"C/o Thiam Bineeta Devi Uripok HaobamDewan Leikai P/O, P/S,  ",ROC SHILLONG,pcsvaibhavgarg@gmail.com,31-03-2019,31-03-2019
U01110MN2018PTC013694,TAMPAK FARMERS PRODUCER COMPANY LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,18-06-2018,Manipur,1000000,100000,1110,Agriculture & allied,RAJKUMARI RAJESHWARI W/O M. HOMESHWORKONGPAL KONGKHAM LEIKAI  ,ROC SHILLONG,mhomeshwor2018@gmail.com,NA,NA
U01110MN2018PTC013759,HEINGANG EDUCATED FARMERS PRODUCERCOMPANY LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,25-10-2018,Manipur,1000000,33000,1110,Agriculture & allied,"C/O. NONGTHOMBAM IRABOT SINGH, IED-IV148-6NA, KHABAM MANING LEIKAI,  ",ROC SHILLONG,ougricpl@gmail.com,NA,NA
U01110MN2019PTC013807,LAMJINGBA ARTISIANS PRODUCER COMPANYLIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,01-02-2019,Manipur,1000000,120000,1110,Agriculture & allied,"PARSAIN VILLAGE POKALAPAHAR, SADAR HILLS  ",ROC SHILLONG,pcsvaibhavgarg@gmail.com,NA,NA
U01111MN2017PTC013563,THAYONG ORGANIC PRODUCER COMPANY LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,22-08-2017,Manipur,1000000,100000,1111,Agriculture & allied,C/O. GREEN FOUNDATIONKWAKEITHEL AWANG THIYAM LEIKAI  ,ROC SHILLONG,surjitthiyam7@gmail.com,31-03-2019,31-03-2019
U01111MN2019PTC013991,LAMYANBA AGRO AND HORTICULTURE PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,13-12-2019,Manipur,200000,100000,1111,Agriculture & allied,"H.No. 38, Thoubal Achouba Bazar, MakhaPO/PS Thoubal Ward No. 8, Thoubal (MCI)  ",ROC SHILLONG,pcsvaibhavgarg@gmail.com,NA,NA
U01113MN2017PTC013531,GAITHAO PRODUCER COMPANY LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,16-05-2017,Manipur,1500000,220000,1113,Agriculture & allied,LONGMAI BAZARPO&PS - LONGMAI  ,ROC SHILLONG,ougricpl@gmail.com,NA,NA
U01113MN2017PTC013542,CHAK-HAO POIREITON ORGANIC PRODUCERCOMPANY LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,24-06-2017,Manipur,1000000,100000,1113,Agriculture & allied,C/O. GREEN FOUNDATIONKWAKTHEITHEL AWANG THIYAM LEIKAI  ,ROC SHILLONG,chakhaopoireiton@gmail.com,31-03-2018,31-03-2018
U01113MN2019PTC013798,YAOWL PRODUCER COMPANY LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,15-01-2019,Manipur,100000,100000,1113,Agriculture & allied,"C/O Thokchom Nelson Uripok Kangchup Road,2nd Floor, Fancy Enterprises  ",ROC SHILLONG,pcsvaibhav@gmail.com,NA,NA
U01114MN2017PTC013588,PROGRESSIVE ORGANIC PRODUCER COMPANYLIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,13-10-2017,Manipur,1000000,110000,1114,Agriculture & allied,C/O. GREEN FOUNDATIONKWAKEITHEL AWANG THIYAM LEIKAI  ,ROC SHILLONG,ougricpl@gmail.com,31-03-2018,31-03-2018
U01114MN2019NPL013834,UKHRUL FARMERS DEVELOPMENT FOUNDATION   ,ACTV,Private,Company limited by Shares,Non-govt company,14-03-2019,Manipur,100000,100000,1114,Agriculture & allied,"C/O YARSHO KEISHING, 320-4-NC-2/11NAGARAM B BLOCK  ",ROC SHILLONG,angam_ningshen@yahoo.co.uk,NA,NA
U01114MN2019PTC013839,SHEPOUMARAMTH FARMER PRODUCER COMPANYLIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,26-03-2019,Manipur,1000000,12000,1114,Agriculture & allied,C/O. S. P. PAULSENAPATI TOOL GATE (MAKHRELUI)  ,ROC SHILLONG,ougricpl@gmail.com,NA,NA
U01119MN1985PTC002393,EASTERN AGRO FARMS PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,19-07-1985,Manipur,100000,20000,1119,Agriculture & allied,THANGMEIBAND   ,ROC SHILLONG,NA,NA,NA
U01119MN1988PTC002893,INTERNATIONAL BUSINESS & TRAVELS DEVELOPMENT CORPORATION PVT LTD  ,STOF,Private,Company limited by Shares,Non-govt company,14-03-1988,Manipur,10000000,3000,1119,Agriculture & allied,IMPHALIMPHAL  ,ROC SHILLONG,NA,NA,NA
U01119MN1994PTC004074,NEZONE AGRICULTURAL PRODUCE COMPANY PVTLTD  ,STOF,Private,Company limited by Shares,Non-govt company,03-02-1994,Manipur,20000,20,1119,Agriculture & allied,THANGMEI BAND   ,ROC SHILLONG,NA,NA,NA
U01119MN1997PLC004940,NORTH EASTERN GROWERS AND PLANTATIONS LIMITED  ,STOF,Public,Company limited by Shares,Non-govt company,07-01-1997,Manipur,500000,450000,1119,Agriculture & allied,SAGOLBAND TERA KEITHALSAPAMLEIRAK  ,ROC SHILLONG,NA,NA,NA
U01119MN1999PTC005939,KAYI ORGANIC PRODUCTS PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,12-11-1999,Manipur,2500000,100000,1119,Agriculture & allied,"PUNANAMEI, MAOSENAPATI  ",ROC SHILLONG,barmancs@gmail.com,NA,NA
U01119MN2016PTC013474,KHUNAI APUNBA BEE-KEEPING AND HONEYPROCESSING PRODUCER COMPANY LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,25-05-2016,Manipur,2000000,658000,1119,Agriculture & allied,URIPOK POLEM LEIKAI   ,ROC SHILLONG,kachichandra113@gmail.com,31-03-2018,31-03-2018
U01130MN2020PTC014033,MAIBIA AGROTECH PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,28-01-2020,Manipur,100000,50000,1130,Agriculture & allied,"C/O OF MAIBAM PREMJIT SINGH KONGMANMANGJIL, NEAR ORIENTAL CLUB GROUND  ",ROC SHILLONG,aitf2413@gmail.com,NA,NA
U01131MN1994PLC004134,HILL CROPS AND COFFEE PLANTATION LTD   ,STOF,Public,Company limited by Shares,Non-govt company,12-05-1994,Manipur,200000,80000,1131,Agriculture & allied,BUNGPAKHUNOUUKHRUL  ,ROC SHILLONG,NA,NA,NA
U01132MN1977PTC001712,CHANSO PRONGO TEA CO PVT LTD   ,STOF,Private,Company limited by Shares,Non-govt company,29-06-1977,Manipur,200000,100000,1132,Agriculture & allied,IMPHALIMPHAL  ,ROC SHILLONG,akansanju@gmail.com,NA,NA
U01132MN1981SGC001872,MANIPUR PLANTATION CROPS CORPORATION LTD   ,ACTV,Private,Company limited by Shares,State Govt company,19-03-1981,Manipur,20000000,20000000,1132,Agriculture & allied,"Department of Agriculture,SECRETARIAT  ",ROC SHILLONG,NA,NA,NA
U01132MN1989PTC003280,JOY PLANTATION PVT LTD   ,STOF,Private,Company limited by Shares,Non-govt company,11-05-1989,Manipur,2000000,14400,1132,Agriculture & allied,SANGEIBROW AIR PORT ROADIMPHAL   ,ROC SHILLONG,NA,NA,NA
U01132MN1992PTC003697,JAJA TEA AND PLANTATIONS PVT LTD   ,STOF,Private,Company limited by Shares,Non-govt company,27-04-1992,Manipur,10000000,3000,1132,Agriculture & allied,C O S KIPGEN HOUSENEW LAMBU LANEIMPHAL  ,ROC SHILLONG,NA,NA,NA
U01132MN1992PTC003717,NILAI TEA CO PVT LTD   ,STOF,Private,Company limited by Shares,Non-govt company,09-06-1992,Manipur,10000000,40000,1132,Agriculture & allied,NILAI HOUSE NILAI POST BOXBABUPARAIMPHAL  ,ROC SHILLONG,NA,NA,NA
U01132MN1993PTC003979,I K AGRO FORESTERS PVT LTD   ,STOF,Private,Company limited by Shares,Non-govt company,27-08-1993,Manipur,20000,20,1132,Agriculture & allied,KHOYATHONGKHOYATHONG TOWN  ,ROC SHILLONG,NA,NA,NA
U24111MN2011PTC008272,ESTHER GASES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,24-01-2011,Manipur,85100000,18064000,24111,Manufacturing,"GROUND FLOOR,OPP CENTRAL BANK OF INDIA, THANGAL BAZAAR  ",ROC SHILLONG,esthergases@outlook.com,31-03-2019,31-03-2019
U24219MN1985PTC002440,SH CONSULTANT PVT LTD   ,STOF,Private,Company limited by Shares,Non-govt company,04-10-1985,Manipur,100000,1000,24219,Manufacturing,URPOK ROAD  IMPHALDT  CENTRAL   ,ROC SHILLONG,NA,NA,NA
U24230MN2012PTC008315,ST. STONE MEDICAL DEVICES PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,07-12-2012,Manipur,10000000,100000,24230,Manufacturing,"A-8, KURAOPOKPI INDUSTRIAL ESTATE   ",ROC SHILLONG,info@stsmedicals.com,31-03-2018,31-03-2018
U24232MN1989PLC003315,MANIPUR STATE DRUGS AND PHARMACEUTICALSLIMITED  ,ACTV,Public,Company limited by Shares,Non-govt company,18-07-1989,Manipur,20000000,8500000,24232,Manufacturing,"IMPHAL, DIMAPUR ROAD, NILKUNTHI,   ",ROC SHILLONG,NA,NA,NA
U24232MN2015PTC008439,LOUSHWANG MEDITECH PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,04-08-2015,Manipur,100000,100000,24232,Manufacturing,KONGPAL CHANAM LEIKAIDISTRICT IMPHAL EAST  ,ROC SHILLONG,leokhuman@gmail.com,31-03-2019,31-03-2019
U24290MN2019PTC013992,HEMKHOLAL KHONGSAI & SON PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,13-12-2019,Manipur,100000,100000,24290,Manufacturing,"C/O NGAMKHOLIEN KHONGSAI, BIJANGGANGTE VENG,  ",ROC SHILLONG,hemkholalandsonpvtlimited@gmail.com,NA,NA
U70200MN2017PTC013609,THRUST TRADING AND INDUSTRY PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,30-11-2017,Manipur,100000,100000,70200,Real estate renting and business activities,"1245/B/TB, ADC ROAD,DISTRICT HEADQUARTERCHURACHANDPUR SUB-DIVISION,CHURACHANDPUR  ",ROC SHILLONG,haokipthongsei1960@gmail.com,NA,NA
U72100MN1976PTC001664,PHOUOIBI SAVING CHIT & INVESTMENT CO PVT LIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,26-05-1976,Manipur,100000,10000,72100,Real estate renting and business activities,KWATEIIMPHAL   ,ROC SHILLONG,NA,NA,NA
U72100MN2011PLC013887,SALAI INFOTECH LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,07-02-2011,Manipur,10000000,780000,72100,Real estate renting and business activities,"SAGOLBAND, TERA LOUKRAKPAMLAIKAI  ",ROC SHILLONG,samar.golden@gmail.com,31-03-2018,31-03-2018
U72100MN2013SGC008367,MANIPUR IT SEZ PROJECT DEVELOPMENTCOMPANY LIMITED  ,ACTV,Public,Company limited by Shares,State Govt company,30-12-2013,Manipur,500000,500000,72100,Real estate renting and business activities,"4TH FLOOR, WEST BLOCK BUILDING,NEW SECRETARIAT,  ",ROC SHILLONG,n.deben@nic.in,NA,NA
U72100MN2014PTC008368,IMOMCHA SOLUTIONS PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,01-01-2014,Manipur,100000,100000,72100,Real estate renting and business activities,Moirangkhom Sougaijam Leirak   ,ROC SHILLONG,tiken.m@gmail.com,NA,NA
U27203MN1984PTC002243,MANIPUR CONDUCTORS AND CABLES PVT LTD   ,STOF,Private,Company limited by Shares,Non-govt company,20-10-1984,Manipur,1250000,344500,27203,Manufacturing,THANGMEIBAND   ,ROC SHILLONG,NA,NA,NA
U28120MN2010PTC008261,MANIPUR OXYGEN PLANT PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,07-06-2010,Manipur,12000000,5213300,28120,Manufacturing,"OPP. UNITED BANK OF INDIAHOTEL WHITE PALACE BUILDING, M. G. AVENUE,  ",ROC SHILLONG,cs.rakesh2@gmail.com,31-03-2019,31-03-2019
U28990MN2018PTC013677,LAMJINGBA JEWELLERY PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,29-05-2018,Manipur,5000000,1000000,28990,Manufacturing,"C/O. KONGKHAM BUNGBUNG SINGHIED-II, C-4-68/1, NAGAMAPAL RIMS ROAD  ",ROC SHILLONG,lamjingbafoundation@gmail.com,NA,NA
U28990MN2019PTC013815,LEISHANG TOOLS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,09-02-2019,Manipur,100000,100000,28990,Manufacturing,"C/o Leishangthem PriyokumarKhurai Ningthoubung, Lai Leirak  ",ROC SHILLONG,Robenleishang@gmail.com,NA,NA
U70103MN2018PTC013619,MCJ INFRA CONSTRUCTION PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,03-01-2018,Manipur,200000,200000,70103,Real estate renting and business activities,HOUSE NO 107-12-D-50/1 SINGJAMEI MATHAKCHONGTHAM LEIKAI SINGJAMEI BAZAR  ,ROC SHILLONG,thongbamj@gmail.com,31-03-2019,31-03-2019
U70103MN2018PTC013688,LAMJINGBA ECO HOUSING DEVELOPMENTPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,12-06-2018,Manipur,1000000,100000,70103,Real estate renting and business activities,"IED-II, C-4-68/1, NAGAMAPAL RIMS ROADNEAR NITYAINANDA MANDIR  ",ROC SHILLONG,mrguptaco@gmail.com,NA,NA
U70109MN2000PTC006239,ADVANCE BUILDING CONSTRUCTION COMPANY PRIVATE LIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,06-07-2000,Manipur,500000,128000,70109,Real estate renting and business activities,DEWLAHLANDNEAR KIDS HIGH SCHOOLMANIPUR  ,ROC SHILLONG,NA,NA,NA
U70109MN2017PTC013574,KOROU YUMKEI PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,05-09-2017,Manipur,100000,100000,70109,Real estate renting and business activities,"C/o Maisnam Korouhanba LuwangKiyam Siphai Heibong, Thoubal  ",ROC SHILLONG,luwangkorouhanba@gmail.com,31-03-2019,31-03-2019
U29299MN2019OPC013998,IMPHAL MACHINES (OPC) PRIVATE LIMITED   ,ACTV,Private(One Person Company),Company limited by Shares,Non-govt company,20-12-2019,Manipur,1000000,100000,29299,Manufacturing,"8244, 20-B-31/3KHAGEMPALLI, HUIDROM LEIKAI  ",ROC SHILLONG,daya.sym@gmail.com,NA,NA
U29309MN1987SGC002683,MANIPUR ELECTRONICS DEVELOPMENTCORPORATION LIMITED  ,ACTV,Private,Company limited by Shares,State Govt company,28-04-1987,Manipur,30000000,3988000,29309,Manufacturing,"B-14, TAKYAL INDUSTRIAL ESTATETAKYEL PAT  ",ROC SHILLONG,NA,NA,NA
U29309MN2018PTC013651,SALAI DEFENCE TECHNOLOGY PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,05-04-2018,Manipur,1000000,1000000,29309,Manufacturing,C/O NARENGBAM SAMARJIT SINGHSAGOLBAND TERA LOUKRAKPAM LEIKAI  ,ROC SHILLONG,samar.golden@gmail.com,NA,NA
U31909MN1990PLC003391,USHA MANITRON TELECOMMUNICATIONS LTD   ,STOF,Public,Company limited by Shares,Non-govt company,09-01-1990,Manipur,10000000,210,31909,Manufacturing,INDUSTRIAL ESTATETAKYELPATIMPHAL  ,ROC SHILLONG,NA,NA,NA
U31909MN2013PTC008321,QUARK GEN ELECTRONICS PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,16-01-2013,Manipur,100000,100000,31909,Manufacturing,"HOUSE NO 14, ZOMI VILLANORTH A.O.C. POST OFFICE IMPHAL EAST  ",ROC SHILLONG,ca.aayaz@gmail.com,31-03-2014,31-03-2014
U31909MN2018PTC013701,LAVIN SOLAR PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,27-06-2018,Manipur,1000000,100000,31909,Manufacturing,"IED-III, 11-EA-11/5,WANGKHEI PUKHRAMBAMLEIKAI,  ",ROC SHILLONG,caprashantrajesh@gmail.com,NA,NA
